problem,x,y,x-extra,ff-inst,ff-search,ff-preprocess,ff-total,ff-system,metricFF-inst,metricFF-search,metricFF-preprocess,metricFF-total,metricFF-system,ffha-inst,ffha-search,ffha-preprocess,ffha-total,ffha-system,ffsa-inst,ffsa-search,ffsa-preprocess,ffsa-total,ffsa-system,sgplan522-parsing,sgplan522-total,sgplan522-system,sgplan6-parsing,sgplan6-total,sgplan6-system,ipp-inst,ipp-search,ipp-preprocess,ipp-total,ipp-system,lama-search,lama-preprocess,lama-total,lama-system,c3-system
extra,20,20,50,,,,,,,,,,,,,,,,,,,,,0.37,0.46,0.489,0.35,0.45,0.473,,,,,,0.03,3.27,3.3,5.521,
extra,20,20,51,,,,,,,,,,,,,,,,,,,,,0.38,0.48,0.500,0.36,0.45,0.482,,,,,,0.04,3.31,3.35,5.553,
extra,20,20,52,,,,,,,,,,,,,,,,,,,,,0.39,0.49,0.510,0.37,0.47,0.491,,,,,,0.04,3.33,3.37,5.651,
extra,20,20,53,,,,,,,,,,,,,,,,,,,,,0.39,0.48,0.518,0.38,0.48,0.500,,,,,,0.04,3.39,3.43,5.744,
extra,20,20,54,,,,,,,,,,,,,,,,,,,,,0.40,0.51,0.532,0.39,0.48,0.510,,,,,,0.04,3.44,3.48,5.848,
extra,20,20,55,,,,,,,,,,,,,,,,,,,,,0.42,0.51,0.540,0.40,0.49,0.521,,,,,,0.03,3.56,3.59,5.982,
extra,20,20,56,,,,,,,,,,,,,,,,,,,,,0.42,0.52,0.553,0.40,0.50,0.531,,,,,,0.04,3.57,3.61,6.041,
extra,20,20,57,,,,,,,,,,,,,,,,,,,,,0.43,0.54,0.565,0.41,0.51,0.540,,,,,,0.04,3.61,3.65,6.072,
extra,20,20,58,,,,,,,,,,,,,,,,,,,,,0.45,0.55,0.575,0.42,0.52,0.549,,,,,,0.04,4.24,4.28,6.849,
extra,20,20,59,,,,,,,,,,,,,,,,,,,,,0.46,0.56,0.585,0.43,0.53,0.560,,,,,,0.04,4.32,4.36,6.883,
extra,20,20,60,,,,,,,,,,,,,,,,,,,,,0.47,0.58,0.601,0.45,0.55,0.570,,,,,,0.04,4.36,4.4,6.943,


extra,20,20,61,0.76,8.01,0.960000000000001,8.97,9.088,,,,,,,,,,,,,,,,0.48,0.58,0.610,0.45,0.56,0.582,,,,,,0.04,4.43,4.47,7.053,
extra,20,20,62,1.34,8.04,1.54,9.58,9.686,,,,,,,,,,,,,,,,0.49,0.61,0.624,0.46,0.57,0.590,,,,,,0.04,4.56,4.6,7.182,
extra,20,20,63,1.91,8.13,2.12,10.25,10.387,,,,,,,,,,,,,,,,0.50,0.61,0.634,0.47,0.58,0.604,,,,,,0.04,4.57,4.61,7.261,
extra,20,20,64,2.43,8.12,2.62,10.74,10.918,,,,,,,,,,,,,,,,0.51,0.62,0.648,0.49,0.59,0.639,,,,,,0.04,4.62,4.66,7.334,
extra,20,20,65,,,,,,,,,,,,,,,,,,,,,0.53,0.63,0.662,0.50,0.60,0.628,,,,,,0.04,4.68,4.72,7.380,
extra,20,20,66,,,,,,,,,,,,,,,,,,,,,0.54,0.64,0.673,0.50,0.62,0.636,,,,,,0.04,4.72,4.76,7.533,
extra,20,20,67,,,,,,,,,,,,,,,,,,,,,0.55,0.66,0.684,0.52,0.62,0.651,,,,,,0.04,4.8,4.84,7.689,
extra,20,20,68,,,,,,,,,,,,,,,,,,,,,0.56,0.67,0.697,0.52,0.63,0.659,,,,,,0.04,4.88,4.92,7.720,
extra,20,20,69,,,,,,,,,,,,,,,,,,,,,0.57,0.68,0.711,0.53,0.64,0.668,,,,,,0.04,4.89,4.93,7.804,
extra,20,20,70,,,,,,,,,,,,,,,,,,,,,0.59,0.71,0.724,0.54,0.65,0.678,,,,,,0.04,4.96,5,7.896,
extra,20,20,71,,,,,,,,,,,,,,,,,,,,,0.60,0.71,0.739,0.56,0.66,0.692,,,,,,0.04,5.07,5.11,7.996,
extra,20,20,72,,,,,,,,,,,,,,,,,,,,,0.61,0.72,0.748,0.57,0.68,0.702,,,,,,0.04,5.11,5.15,8.092,
extra,20,20,73,,,,,,,,,,,,,,,,,,,,,0.62,0.74,0.763,0.58,0.69,0.715,,,,,,0.04,5.17,5.21,8.245,
extra,20,20,74,,,,,,,,,,,,,,,,,,,,,0.64,0.76,0.778,0.59,0.70,0.729,,,,,,0.04,5.3,5.34,8.355,
extra,20,20,75,,,,,,,,,,,,,,,,,,,,,0.65,0.76,0.790,0.59,0.71,0.740,,,,,,0.05,5.31,5.36,8.461,
extra,20,20,76,,,,,,,,,,,,,,,,,,,,,0.66,0.78,0.803,0.61,0.73,0.752,,,,,,0.04,5.39,5.43,8.523,
extra,20,20,77,,,,,,,,,,,,,,,,,,,,,0.68,0.80,0.822,0.62,0.74,0.764,,,,,,0.04,5.49,5.53,8.638,
extra,20,20,78,,,,,,,,,,,,,,,,,,,,,0.69,0.81,0.833,0.63,0.75,0.776,,,,,,0.04,5.54,5.58,8.758,
extra,20,20,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,5.56,5.6,8.838,
extra,20,20,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,5.68,5.73,8.947,
