problem,x,y,x-extra,ff-inst,ff-search,ff-preprocess,ff-total,ff-system,metricFF-inst,metricFF-search,metricFF-preprocess,metricFF-total,metricFF-system,ffha-inst,ffha-search,ffha-preprocess,ffha-total,ffha-system,ffsa-inst,ffsa-search,ffsa-preprocess,ffsa-total,ffsa-system,sgplan522-parsing,sgplan522-total,sgplan522-system,sgplan6-parsing,sgplan6-total,sgplan6-system,ipp-inst,ipp-search,ipp-preprocess,ipp-total,ipp-system,lama-search,lama-preprocess,lama-total,lama-system,c3-system
minimal,11,20,,0.05,0.22,0.05,0.27,0.298,0.05,0.84,0.24,1.08,1.107,0.04,1.08,0.24,1.32,1.355,0.05,1.08,0.24,1.32,1.355,0.01,0.97,1.004,0.04,0.88,0.918,0.30,0.56,4.49,5.05,5.116,1.33,0.15,1.48,1.881,
minimal,12,20,,0.06,0.29,0.06,0.35,0.399,0.06,1.13,0.3,1.43,1.470,0.06,1.46,0.31,1.77,1.810,0.06,1.47,0.31,1.78,1.811,0.02,1.13,1.163,0.04,1.02,1.054,0.37,1.04,5.91,6.95,7.013,1.75,0.18,1.93,2.353,
minimal,13,20,,0.08,0.37,0.08,0.45,0.477,0.07,1.48,0.38,1.86,1.907,0.08,1.96,0.39,2.35,2.397,0.07,1.96,0.38,2.34,2.387,0.02,1.71,1.765,0.04,1.54,1.586,0.48,1.76,7.78,9.54,9.605,2.25,0.24,2.49,2.954,
minimal,14,20,,0.09,0.46,0.1,0.56,0.584,0.10,1.90,0.48,2.38,2.425,0.09,2.56,0.48,3.04,3.091,0.10,2.55,0.48,3.03,3.086,0.02,1.96,1.999,0.05,1.75,1.782,,,,,9.892,2.72,0.28,3,3.501,
minimal,15,20,,0.11,0.55,0.13,0.68,0.709,0.11,2.73,0.58,3.31,3.361,0.12,3.26,0.6,3.86,3.928,0.12,3.31,0.59,3.90,3.969,0.02,2.77,2.812,0.05,2.46,2.488,0.71,,,,11.136,3.44,0.34,3.78,4.321,
minimal,16,20,,0.14,0.66,0.15,0.81,0.840,0.15,2.94,0.72,3.66,3.729,0.14,4.12,0.71,4.83,4.920,0.15,4.11,0.71,4.82,4.892,0.03,3.15,3.194,0.05,2.72,2.752,0.85,,,,12.819,3.73,0.4,4.13,4.705,
minimal,17,20,,0.17,0.79,0.18,0.97,0.994,0.17,3.68,0.839999999999999,4.52,4.584,0.18,5.11,0.85,5.96,6.044,0.17,5.10,0.850000000000001,5.95,6.040,0.04,4.23,4.268,0.06,3.75,3.784,1.01,,,,14.497,5,0.49,5.49,6.135,
minimal,18,20,,0.20,0.91,0.21,1.12,1.159,0.20,4.36,1,5.36,5.440,0.21,6.24,1,7.24,7.343,0.21,6.24,1.01,7.25,7.351,0.03,4.70,4.747,0.05,4.03,4.080,1.20,,,,16.397,5.32,0.55,5.87,6.513,
minimal,19,20,,0.23,1.06,0.25,1.31,1.351,0.24,5.27,1.18,6.45,6.556,0.24,7.56,1.18,8.74,8.862,0.24,7.59,1.18,8.77,8.878,0.03,6.09,6.143,0.06,5.28,5.344,1.40,,,,18.256,6.98,0.649999999999999,7.63,8.334,
minimal,20,20,,0.28,1.21,0.29,1.50,1.532,0.27,6.12,1.36,7.48,7.596,0.28,9.05,1.37,10.42,10.554,0.28,9.08,1.37,10.45,10.573,0.05,6.75,6.793,0.06,5.75,5.797,1.58,,,,20.383,7.45,0.78,8.23,8.937,
minimal,21,20,,0.32,1.39,0.33,1.72,1.753,0.32,7.31,1.58,8.89,9.012,0.33,10.72,1.57,12.29,12.432,0.32,10.74,1.58,12.32,12.470,0.05,8.48,8.523,0.07,7.21,7.237,1.86,,,,22.498,10.08,0.9,10.98,11.763,
